country,tenor_years,window,n_months,r_local_ann,yield_rolldown_ann,carry_rolldown_ann,price_return_ann,r_short_ann,diff_bp,diff_carry_bp,flagged,mean_duration,mean_dy_ann,trend_bp,trend_residual_bp,trend_linearisation_bp,coupon_vs_zero_bp,linear_exact_bp,convexity_bp,accounting_sum_bp,accounting_gap_bp,r_local_sd_monthly,half_var_ann_bp,annualisation
DE,20.0,full,348,0.051530350561110896,0.03915123968881003,0.02098169945892497,0.02133815659513105,0.01816954022988506,123.79110872300869,305.48651102185926,True,15.162317787627561,-0.0009676922961069752,146.72458114212947,-22.933472419120775,-71.5548534777203,-12.492071635870678,75.16972766440917,67.13059433560417,129.80825036414265,-6.017141641133961,0.030789830696278137,56.88082045832829,arithmetic: mean x 12
DE,30.0,full,348,0.05343948885026914,0.034386946466142015,0.016217406236256955,0.022359125034521643,0.01816954022988506,190.52542384127125,372.22082614012186,True,20.137864850211376,-0.0009946878978961443,200.3089045597341,-9.78348071846284,-116.74474021319433,-13.772461010487877,83.56416434653976,126.25053877462395,196.04224211067583,-5.516818269404581,0.041705981297399504,104.36333255874223,arithmetic: mean x 12
FR,1.0,full,261,0.010363569732852903,0.010798160919540228,-0.0029796168582375496,-0.00043459118668732555,0.01377777777777778,-4.3459118668732515,133.43186591090452,False,0.9895755092113551,0.0003098850574712629,-3.06654663544115,-1.2793652314321013,-0.1314202216782232,-6.921135420047551e-15,-3.1979668571193733,0.3526989767181174,-2.845267880401263,-1.5006439864719883,0.002117671950136488,0.26907206930369254,arithmetic: mean x 12
FR,2.0,full,261,0.012356417127492816,0.013112260656095333,-0.0006655171216824443,0.0007851144455004793,0.01377777777777778,-7.558435286025167,130.2193424917526,False,1.9667760928956604,0.00030829538184870775,-6.063479865701772,-1.4949554203233957,-0.636311827247547,-0.018328882994560824,-6.699791692949319,1.3301531409319816,-5.387967435011897,-2.17046785101327,0.00395131867329604,0.9367751554762788,arithmetic: mean x 12
FR,3.0,full,261,0.015923094020229834,0.01686997854727475,0.0030922007694969694,0.003020948426360105,0.01377777777777778,-9.468845270449167,128.30893250732865,False,2.9265491502436713,0.00025231258326423615,-7.384051761477359,-2.084793508971808,-1.827379185823446,-0.18706785577169294,-9.211430947300805,2.715307663985774,-6.683191139086723,-2.7856541313624437,0.005844570457298675,2.0495402298197067,arithmetic: mean x 12
FR,5.0,full,261,0.022431627930487155,0.023459932643962223,0.009682154866184445,0.006507643256157653,0.01377777777777778,-10.28304713475068,127.4947306430271,False,4.77738645504255,0.00016815797866135776,-8.033556495641047,-2.2494906391096325,-5.0665153739572215,-0.9508765571337827,-13.100071869598269,7.123923444977731,-6.927024981754322,-3.356022152996358,0.009820705315809895,5.7867751739986035,arithmetic: mean x 12
FR,7.0,full,261,0.02684926130697035,0.027885016762411566,0.014107238984633785,0.008277881996625533,0.01377777777777778,-10.357554554412154,127.42022322336565,False,6.524748583710956,0.00013923209190153042,-9.084543944416243,-1.2730106099959109,-8.582059849080299,-2.1266111797522482,-17.66660379349654,13.055798849738087,-6.7374161235107035,-3.6201384309014504,0.013510835020624678,10.952559777272294,arithmetic: mean x 12
FR,10.0,full,261,0.03380661997873157,0.03522663759295504,0.02144885981517726,0.011457156377199006,0.01377777777777778,-14.200176142234664,123.57760163554312,False,8.912596191706928,0.0001370151777140002,-12.21160951099846,-1.9885666312362034,-17.968695263753347,-5.116661372283432,-30.180304774751807,25.304179382655114,-9.992786764380128,-4.207389377854536,0.018948049426369688,21.541714623848918,arithmetic: mean x 12
FR,20.0,full,261,0.034524748870071245,0.03485838164426545,0.021080603866487673,0.007154212471603808,0.01377777777777778,-3.336327741942022,134.44145003583571,False,15.448305785286436,0.00021554492679241212,-33.29803939556361,29.96171165362159,-32.644172875847126,-11.684515563168008,-65.94221227141074,78.96816395118012,1.341436116601372,-4.677763858543393,0.0331078859884435,65.76792687742639,arithmetic: mean x 12
FR,30.0,full,238,0.03193128679391398,0.033630310436643045,0.020695436487063214,0.003889984272905598,0.012934873949579834,-16.990236427290654,112.35850306850766,False,20.580212284129516,0.0006609933069245246,-136.0338257489549,119.04358932166426,-18.187515322087933,-13.91106815950243,-154.22134107104284,155.64359466856666,-12.488814561978614,-4.5014218653120395,0.04554907442058722,124.48309083433158,arithmetic: mean x 12
