variant,window,piece,cumulative,share
overlay_unhedged,1990s,cost,-0.005200000000000001,-0.03695744294473711
overlay_unhedged,1990s,r_net,0.14070237510142736,1.0
overlay_unhedged,2000s,carry_earned,-0.09066302087636913,-1.6415375613363645
overlay_unhedged,2000s,yield_change_pnl,0.0061758964673518345,0.11182029815559577
overlay_unhedged,2000s,funding,0.07477788779139508,1.3539225847587586
overlay_unhedged,2000s,fx,0.08873978571487283,1.606715616001187
overlay_unhedged,2000s,cost,-0.0238,-0.430920937579177
overlay_unhedged,2000s,r_net,0.055230549097250614,1.0
overlay_unhedged,2010s,carry_earned,-0.003408383020772816,-0.007259769596446304
overlay_unhedged,2010s,yield_change_pnl,-0.021549609179202275,-0.045900122310490954
overlay_unhedged,2010s,funding,0.0015313612732417144,0.003261760765999462
overlay_unhedged,2010s,fx,0.5131157759322769,1.0929236200471006
overlay_unhedged,2010s,cost,-0.020200000000000003,-0.04302548890616307
overlay_unhedged,2010s,r_net,0.4694891450055436,1.0
overlay_unhedged,2020s,carry_earned,0.03512231752606404,-0.240206336343766
overlay_unhedged,2020s,yield_change_pnl,-0.054421218158108124,0.3721941589823366
overlay_unhedged,2020s,funding,-0.030633370696291663,0.20950581462502105
overlay_unhedged,2020s,fx,-0.0732850102832514,0.5012062149939729
overlay_unhedged,2020s,cost,-0.023000000000000003,0.1573001477424359
overlay_unhedged,2020s,r_net,-0.1462172816115871,1.0
combined_hedged,full,carry_earned,0.7741159260417718,9.248197112772699
combined_hedged,full,yield_change_pnl,-0.5704998682536586,-6.815639695463376
combined_hedged,full,funding,0.0,0.0
combined_hedged,full,fx,0.0,0.0
combined_hedged,full,cost,-0.11991153499278498,-1.4325574173093243
combined_hedged,full,r_net,0.0837045227953283,1.0
combined_hedged,six,carry_earned,0.5313580330924979,-38.449292997393655
combined_hedged,six,yield_change_pnl,-0.45139493651131357,32.663129360165584
combined_hedged,six,funding,0.0,-0.0
combined_hedged,six,fx,0.0,-0.0
combined_hedged,six,cost,-0.0937828053890554,6.786163637228072
combined_hedged,six,r_net,-0.013819708807871103,1.0
combined_hedged,1990s,carry_earned,0.08319654556356472,4.9478097259467875
combined_hedged,1990s,yield_change_pnl,-0.05709838907175905,-3.395717488886547
combined_hedged,1990s,funding,0.0,0.0
combined_hedged,1990s,fx,0.0,0.0
combined_hedged,1990s,cost,-0.009283333333333334,-0.5520922370602406
combined_hedged,1990s,r_net,0.01681482315847234,1.0
combined_hedged,2000s,carry_earned,0.3106372693549785,4.390346062558237
combined_hedged,2000s,yield_change_pnl,-0.20009439547930724,-2.8280046472101406
combined_hedged,2000s,funding,0.0,0.0
combined_hedged,2000s,fx,0.0,0.0
combined_hedged,2000s,cost,-0.03978825341325341,-0.5623414153480965
combined_hedged,2000s,r_net,0.0707546204624178,1.0
combined_hedged,2010s,carry_earned,0.18741998084764172,1.524243445049022
combined_hedged,2010s,yield_change_pnl,-0.027995752855573083,-0.22768299615828635
combined_hedged,2010s,funding,0.0,0.0
combined_hedged,2010s,fx,0.0,0.0
combined_hedged,2010s,cost,-0.036464879564879565,-0.2965604488907357
combined_hedged,2010s,r_net,0.12295934842718907,1.0
combined_hedged,2020s,carry_earned,0.19286213027558702,-1.520703658786535
combined_hedged,2020s,yield_change_pnl,-0.28531133084701926,2.2496587800432413
combined_hedged,2020s,funding,0.0,-0.0
combined_hedged,2020s,fx,0.0,-0.0
combined_hedged,2020s,cost,-0.03437506868131868,0.2710448787432934
combined_hedged,2020s,r_net,-0.12682426925275095,1.0
combined_unhedged,full,carry_earned,0.23996377373255107,0.17970109220349864
combined_unhedged,full,yield_change_pnl,-0.5864634757768398,-0.4391834879710524
combined_unhedged,full,funding,0.0856073738101262,0.06410858745494909
combined_unhedged,full,fx,1.7161450861490057,1.2851654296133872
combined_unhedged,full,cost,-0.11990320165945165,-0.0897916213007822
combined_unhedged,full,r_net,1.3353495562553912,1.0
combined_unhedged,six,carry_earned,0.0961641271791151,0.09110248286922672
combined_unhedged,six,yield_change_pnl,-0.4513949365113137,-0.42763555056431435
combined_unhedged,six,funding,0.15771519750643206,0.14941378350249226
combined_unhedged,six,fx,1.3468583114183,1.2759657872703045
combined_unhedged,six,cost,-0.0937828053890554,-0.08884650307770892
combined_unhedged,six,r_net,1.0555598942034778,1.0
combined_unhedged,1990s,carry_earned,-0.00312707993156173,-0.03986578698290688
combined_unhedged,1990s,yield_change_pnl,-0.07306199659494009,-0.9314357344697288
combined_unhedged,1990s,funding,-0.003054987958960812,-0.03894671766399426
combined_unhedged,1990s,fx,0.1669592551407361,2.1284911949600396
combined_unhedged,1990s,cost,-0.009275000000000002,-0.11824295584340815
combined_unhedged,1990s,r_net,0.07844019065527334,1.0
combined_unhedged,2000s,carry_earned,0.1035047950054387,0.1361336716085398
combined_unhedged,2000s,yield_change_pnl,-0.20009439547930727,-0.2631722010894084
combined_unhedged,2000s,funding,-0.0788214739535471,-0.1036691744602695
combined_unhedged,2000s,fx,0.975516696662342,1.283038815980465
combined_unhedged,2000s,cost,-0.03978825341325341,-0.052331112039327166
combined_unhedged,2000s,r_net,0.7603173688216731,1.0
combined_unhedged,2010s,carry_earned,0.1725396022783286,0.2292350674400885
combined_unhedged,2010s,yield_change_pnl,-0.02799575285557311,-0.03719498717477582
combined_unhedged,2010s,funding,-0.003933151681286454,-0.0052255614305716
combined_unhedged,2010s,fx,0.6485296088647923,0.861632498637605
combined_unhedged,2010s,cost,-0.036464879564879565,-0.04844701747234633
combined_unhedged,2010s,r_net,0.7526754270413819,1.0
combined_unhedged,2020s,carry_earned,-0.0329535436196545,0.12868284209493375
combined_unhedged,2020s,yield_change_pnl,-0.2853113308470194,1.1141342903524536
combined_unhedged,2020s,funding,0.17141698740392056,-0.669379456640033
combined_unhedged,2020s,fx,-0.0748604745188649,0.2923284589010735
combined_unhedged,2020s,cost,-0.03437506868131868,0.1342338652915717
combined_unhedged,2020s,r_net,-0.256083430262937,1.0
carry_hedged_country_scope,full,carry_earned,0.61409971456329,11.09523873801228
carry_hedged_country_scope,full,yield_change_pnl,-0.4904516748262643,-8.861229361627625
carry_hedged_country_scope,full,funding,0.0,0.0
carry_hedged_country_scope,full,fx,0.0,0.0
carry_hedged_country_scope,full,cost,-0.0683,-1.2340093763846527
carry_hedged_country_scope,full,r_net,0.05534803973702565,1.0
carry_hedged_country_scope,six,carry_earned,0.4265620841238102,5.487055712637534
carry_hedged_country_scope,six,yield_change_pnl,-0.29747238063558573,-3.826518076193137
